Title,Date,Date Start,Date End,Language,Resource Type,Genre,Number of Items
The Strand Magazine: an illustrated monthly,1891,1891,,English,text | still image,Periodicals,1
"Elizabeth Barrett Browning collection of papers, 1764-[1973] bulk (1812-1883). [Microfilm]",1764,1764,1973,English,text,Typescripts | Manuscripts,1
"Series of advertising cards issued by Arbuckle Bros. Coffee Company, each consisting of a map of a United States state or territory with related illustrations.",1889,1889,,,,,3
Kreuzigung : Spielgang Werk VII,1920,1920,1921,,still image,Woodcuts,7
The Play pictorial.,1904-,1904,,,,,2
"Itinerario, Uoyage ofte Schipvaert, van Jan Huygen van Linschoten naer Oost ofte Portugaels Jndien...",1596,1596,,Dutch,text,,1
Miscellaneous Afro-Latin America Collection,1726,1726,1890,Spanish,text,correspondence | documents,3
Stoli︠t︡sa i usadʹba,1913,1913,1917,Russian,still image | text,Periodicals,8
Rare Music Photograph Collection,,,,,still image,Photographs,9
Pl︠i︡uvium: zakonnoe dit︠i︡a Vittovoĭ pl︠i︡aski,1906,1906,1908,Russian,text | still image,Periodicals,2
Interiors.,1888,1888,2001,,,,1
"Richard Rodgers scrapbooks, 1916-1980.",,,,,,,1
"Three years travels from Moscow over-land to China: thro' Great Ustiga, Siriania, Permia, Sibiria, Daour, Great Tartary, &c. to Peking. Containing an exact and particular description of the extent and limits of those countries, and the customs of the barbarous inhabitants; with reference to their religion, government, marriages, daily imployments, habits, habitations, diet, death, funerals, &c. Written by His Excellency E. Ysbrants Ides ... Illustrated with a large map of the countries, drawn by the ambassador upon his journey, and many curious cuts. To which is annex'd an accurate description of China, done originally by a Chinese author: with several remarks by way of commentary, alluding to what our European authors have writ of that country. Printed in Dutch ... and now faithfully done into English.",1706,1706,,,still image,,4
"An account of the Rosetta stone : in three languages, which was brought to England ... in 1802.",1810,1810,,,still image,Engravings,4
"A narrative of the life of Rev. Noah Davis, a colored man, written by himself, at the age of fifty-four.",1859,1859,,,still image,,1
"Our mutual friend. Proof sheets, with the author's ms. corrections",1865,1865,,English,text,Manuscript corrections (Publishing),4
Circulars no. 1-4,1794,1794,,,,,3
"Vicar of Wakefield; Virgin of the Sun; Vortigern; Way of the World; Wreck Ashore ephemera, 1758-1906 : portfolio.",1758,1758,1906,,,,1
